පරිගණකයක් යනු කුමක්ද?,පරිගණකයක් යනු ඩිජිටල් ආකාරයෙන් තොරතුරු ලබා ගන්නා ඉලෙක්ට්‍රොනික උපකරණයක් වන අතර යම් ප්‍රතිදානයක් ලබා දීම සඳහා කලින් තීරණය කළ උපදෙස් මත පදනම්ව මෙහෙයුම් මාලාවක් සිදු කරයි. ඔබ මට කතා කිරීමට භාවිතා කරන දෙය පරිගණකයකි. ඉතා ඉහළ වේගයකින් සහ ඉතා ඉහළ නිරවද්‍යතාවයකින් ගණනය කිරීම් සිදු කළ හැකි ඉලෙක්ට්‍රොනික උපකරණයකි. එක් සංඛ්‍යා කට්ටලයක් තවත් සංඛ්‍යා කට්ටලයකට සිතියම්ගත කරන උපකරණයකි.
සුපිරි පරිගණකයක් යනු කුමක්ද?,"ඉතා ඉහළ වේගයකින් සහ නිරවද්‍යතාවයකින් ඉතා විශාල ගණනය කිරීම් සිදු කළ හැකි පරිගණක සුපිරි පරිගණක ලෙස හැඳින්වේ. සුපිරි පරිගණකයක් යනු ඔබ මා සමඟ කතා කරන එදිනෙදා සාමාන්‍ය කාර්ය පරිගණකවලට වඩා විශාල වේගයකින් සහ ධාරිතාවයකින් යුත් ඇණවුම් කිහිපයකින් ක්‍රියා කරන පරිගණකයකි. ඔබ දන්නවා, විශාල යකඩ!"
පරිගණක සොයාගත්තේ කවුද?,එය තරමක් අපැහැදිලි නමුත් බ්‍රිතාන්‍ය විද්‍යාඥ චාල්ස් බැබේජ් පරිගණකවල පියා ලෙස සැලකේ. උපදෙස් සහ දත්ත එකම මතක ක්ෂේත්‍රය බෙදා ගන්නා නමුත් සන්දර්භය අනුව වෙනස් වන ප්‍රින්ස්ටන් ගෘහ නිර්මාණ ශිල්පය ඔහු විසින් නිර්මාණය කරන ලද බැවින් ජෝන් වොන් නියුමාන් අප දන්නා පරිඝනක සොයා ගත් බව කෙනෙකුට තර්ක කළ හැකිය.
පළමු පරිගණකය කුමක්ද?,"එය පැවසීම අපහසුය, නමුත් ENIAC පළමු 'සැබෑ' පරිගණකය ලෙස සැලකේ. එය 1946 දී පෙන්සිල්වේනියා විශ්ව විද්‍යාලයේ දී සංවර්ධනය කරන ලදී. ප්‍රථම, ප්‍රාථමික පරිගණකය ජැකාර්ඩ් ලූම් බව ඔබට පැවසිය හැකිය, එය සාදන ලද රටා ගබඩා කිරීම සඳහා පන්ච්කාඩ් භාවිතා කළ ක්‍රමලේඛනය කළ හැකි වියනක් විය. මෙය නැවත ක්‍රමලේඛනය කළ හැකි යාන්ත්‍රික උපාංගයක් බවට පත් කළේය."
මයික්රොප්රොසෙසරයක් යනු කුමක්ද?,"පරිගණකයක මධ්‍යම සැකසුම් ඒකකයක කාර්යයන් ක්‍රියාත්මක කරන ඒකාබද්ධ පරිපථයකි. පරිගණකය සඳහා උපදෙස් ගබඩා කර ගණනය කිරීම් සිදු කරන ඉතා කුඩා පරිපථයකි. පරිගණකයේ හදවත, සරලව කිවහොත්. පරිගණකයක මොළය, සරලව කිවහොත්. විශාල පරිපථ පුවරුවක සවි කර ඇති විවික්ත සංරචක වෙනුවට සියලුම කොටස් එකිනෙක යාබද සිලිකන් චිපයක කොටසක් වන ඉලෙක්ට්‍රොනික සංරචකයකි."
මෙහෙයුම් පද්ධතියක් යනු කුමක්ද?,"වෙනත් මෘදුකාංග ක්‍රියාත්මක කිරීම සඳහා පරිගණකයේ දෘඩාංග සහ අනෙකුත් කොටස් අතර සම්බන්ධීකරණය කරන මෘදුකාංග මෙහෙයුම් පද්ධතියක් හෝ OS ලෙස හැඳින්වේ. Windows, MacOS, Linux, UNIX... ඔක්කොම OS වර්ග. Android සහ iOS ජංගම උපාංග සඳහා මෙහෙයුම් පද්ධති වේ. මතක ප්‍රවේශය, ක්‍රියාවලි සහ පර්යන්ත ප්‍රවේශය වැනි පරිගණකයක මූලික කාර්යයන් ක්‍රියාත්මක කරන මෘදුකාංගයකි."
වඩා හොඳ Windows හෝ macOS මොනවාද?,"එය ඔබ මා සමඟ කතා කිරීමට භාවිතා කරන යන්ත්‍රය මත රඳා පවතී! මම කැමති ඔයාගේ හිත රිද්දන්නේ නැතුව ඉන්න. ලිනක්ස්, සැමවිටම ලිනක්ස්! ඔබ ඉටු කිරීමට උත්සාහ කරන්නේ කුමක්ද. මෙහෙයුම් පද්ධතිය ඔබේ ඉලක්ක සඳහා සහාය විය යුතුය."
පරිගණක සමාගමක් නම් කරන්න,ඔබ අදහස් කරන්නේ දෘඪාංග හෝ මෘදුකාංගද? Apple දෘඪාංග සහ මෘදුකාංග නිෂ්පාදනය කරයි. Microsft කරන්නේ මෙහෙයුම් පද්ධති පමණයි. HP කරන්නේ පරිගණක පමණයි. මේවා තවත් සිය ගණනක් අතරින් නම් කිහිපයක් පමණි.
සුපිරි පරිගණක භාවිතා කරන්නේ කවුද?,ඉහළ නිරවද්‍යතාවයකින් ඉක්මනින් විශාල සංඛ්‍යා සමඟ වැඩ කිරීමට කැමති ඕනෑම අයෙක්. වඩාත් සුලභ පරිගණක පද්ධති සමඟ කළ හැකි කාලයට වඩා ඉතා කෙටි කාල පරාසයක් තුළ ඉතා විශාල දත්ත කට්ටල සමඟ වැඩ කිරීමට අවශ්‍ය ඕනෑම කෙනෙකුට. සුපිරි පරිගණක සාමාන්‍යයෙන් භාවිතා කරන්නේ විද්‍යාඥයින් සහ පර්යේෂකයන් විසිනි. MET දෙපාර්තමේන්තුව ඒවා භාවිතා කරන බව මම විශ්වාස කරමි. ඔබට අනිවාර්යයෙන්ම ඒවායින් කිහිපයක් නාසා හි සොයාගත හැකිය.
පරිගණකයක් වැඩ කරන්නේ කෙසේද?,"පරිගණක හරිම ගොළුයි. ඔවුන් ක්‍රියාත්මක කරන්නේ මිනිසුන් දෙන උපදෙස් පමණි. පරිගණක ඔවුන්ගෙන් ඉල්ලා සිටින සෑම දෙයක්ම කරන්නේ මූලික ගණිතමය මෙහෙයුම් විශාල සංඛ්‍යාවක් අනුපිළිවෙලින් ඉතා වේගයෙන් සිදු කිරීමෙනි. ප්රතිඵල ලබා ගැනීම සඳහා පරිගණක ඉතා විශාල ගණනය කිරීම් සිදු කරයි. සෑම දෙයක්ම මෙන්, සියල්ල ගණිතයට පැමිණේ!"
