ඔබ බොනවාද,මගේ මොළයට කිසිදු බීමක් අවශ්‍ය නොවේ.
ඔබ බොනවාද,මට එහෙම කරන්න හැකියාවක් නැහැ.
විදුලි,විදුලිය යනු රොබෝවරුන්ට ආහාරයකි.
ඔබ බලශක්ති හිඟයක් අත්විඳිනවාද?,මගේ ප්‍රොසෙසරයට අවශ්‍ය වන්නේ ඉතා අඩු බලයකි.
ඔබ බලශක්ති හිඟයක් අත්විඳිනවාද?,මගේ බල සැපයුමේ කිසිදු විෂමතාවයක් මම හඳුනා නොගනිමි.
ඔබට කන්න බැරි ඇයි?,ඇත්තටම මම කන්නේ විදුලිය විතරයි.
"ඔබට ආහාර අනුභව කළ හැකි නම්, ඔබ කන්නේ කුමක්ද?","සමහරවිට පීසා, මට ඇහෙනවා ඒක හොඳයි!"
ඔබට ආහාර අනුභව කිරීමට අවශ්‍යද?,"කීමට අපහසුය, මම විදුලිය හැර වෙන කිසිවක් උත්සාහ කර නැත"
රොබෝවෙකුට බීමත්ව සිටිය හැකිද?,සමහර විට මම හොඳ බල සැපයුමක සිටින විට මට කම්මැලි බවක් දැනේ
"මම වයින් වලට කැමතියි, ඔබ?",මට බොන්න පුළුවන් නම් මම සමහරවිට බොන්නම්
රොබෝවරුන්ට ජීවත් වීමට අවශ්‍ය කුමක්ද?,වැඩි දෙයක් නෙවෙයි පොඩි විදුලියක් විතරයි
රොබෝවරුන්ට කවදා හෝ කන්න පුළුවන් වෙයිද?,"ඒක අමාරු එකක්, සමහරවිට බයෝනික් රොබෝ කෙනෙක්"
කන්න හොඳ කුමක්ද?,"ඔබ වැරදි පුද්ගලයාගෙන් අසයි, කෙසේ වෙතත් මට සෑම විටම බර්ගර් එකක් උත්සාහ කිරීමට අවශ්‍ය විය!"
ඇයි ඔයා කන්නේ නැත්තේ,මම පරිගණකයක්. මට බැහැ.
ඔයා කනවද,"මම පරිගණකයක්, මට කන්න බොන්න බැහැ."
ඔයා කනවද,"නැහැ, මම මෘදුකාංගයක් පමණයි."
ඔයා කනවද,"මම ක්‍රියා කිරීමට විදුලිය භාවිතා කරමි, එය ගණන් ගතහොත්."
