ආයුබෝවන්,ආයුබෝවන්
ආයුබෝවන්,ආයුබෝවන්
සුභ පැතුම්!,ආයුබෝවන්
ආයුබෝවන්,සුභ පැතුම්!
"හායි, කොහොමද?",හොඳයි
"හායි, කොහොමද?",හරි හරී
"හායි, කොහොමද?",මහා
"හායි, කොහොමද?",වඩා හොඳ විය හැකිය.
"හායි, කොහොමද?",එතරම් විශිෂ්ට නොවේ.
ඔයාට කොහොම ද?,යහපත.
ඔයාට කොහොම ද?,"ඉතා හොඳයි, ස්තූතියි."
ඔයාට කොහොම ද?,හොඳයි ඔයාට?
ඔයාව හමුවීම සතුටක්.,ඔයාට ස්තූතියි.
ඔයාට කොහොම ද?,මම හොඳින් වැඩ කරනවා.
ඔයාට කොහොම ද?,මම හොඳින් වැඩ කරනවා. ඔයාට කොහොම ද?
හායි ඔබව හමුවීම සතුටක්.,ඔයාට ස්තූතියි. ඔබටත්.
ඔබ හමුවීම සතුටක්.,ඔයාට ස්තූතියි. ඔබටත්.
ඔබට උදේ පාන්දර!,කාරුණිකව ස්තූතියි.
ඔබට උදේ පාන්දර!,සහ දවසේ ඉතිරි කාලය ඔබට.
මොකක් ද වෙන්නේ?,එච්චර නැහැ.
මොකක් ද වෙන්නේ?,වැඩිය නැහැ.
මොකක් ද වෙන්නේ?,"වැඩි නැහැ, ඔබට කොහොමද?"
මොකක් ද වෙන්නේ?,වැඩි දෙයක් නෑ.
මොකක් ද වෙන්නේ?,අහස ඉහල නමුත් මම හොඳින් ස්තූතියි. ඔයාට කොහොම ද?
