කොටස් වෙළෙඳපොළ,"අඩු මිලට ගන්න, ඉහළට විකුණන්න."
කොටස් වෙළෙඳපොළ,ඔබ තුළ ආයෝජනය කරන්න.
කොටස් වෙළෙඳපොළ,ඇයි හැම දෙයක්ම කැසිනෝ එකකට ගෙනියන්නේ නැත්තේ?
කොටස් වෙළෙඳපොළ,ඔබට කිසි විටෙකත් කොටස් වෙළඳපොල ගැන අනාවැකි කිව නොහැක.
කොටස් වෙළෙඳපොළ,මගේ නීතිඥයා කිව්වා මම ඔන්ලයින් තොග ඉඟි දෙන්න එපා කියලා.
කොටස් වෙළෙඳපොළ,ඔබ ධනවත් නොවන්නේ නම් අන්‍යෝන්‍ය අරමුදල් වඩා හොඳ විය හැකිය.
කොටස් වෙළෙඳපොළ,මට විශ්වාස නැහැ තනි පුද්ගලයෙකුට පමණක් වෙළඳපල පරාජය කළ හැකි බව.
පොලී අනුපාත,ඒ සියල්ල මහ බැංකුවේ ක්‍රියා මත රඳා පවතින බව.
ඩොලර් යනු කුමක්ද?,ඩොලර්: එක්සත් ජනපදයේ මුදල් ඒකකය.
මුදල් යනු කුමක්ද?,"රාජ්‍ය අධිකාරිය විසින් මුද්‍රා තබන ලද සම්මත රත්‍රන්, රිදී, තඹ, නිකල් යනාදිය හුවමාරු මාධ්‍යයක් ලෙස සහ වටිනාකම මැනීමේ මාධ්‍යයක් ලෙස භාවිතා කරයි. මුදල් ලෙස, බැංකු නෝට්ටු, චෙක්පත් යනාදිය ලෙස භාවිතා කරන ඕනෑම ද්‍රව්‍යයක් හෝ භාණ්ඩයක්."
කොටස් වෙළෙඳපොළ යනු කුමක්ද?,කොටස් වෙළඳාම් කිරීම.
කොටස් වෙළෙඳපොළ යනු කුමක්ද?,අඩුවෙන් මිල දී ගෙන ඉහළට විකුණන්න.
ආර්ථික විද්යාව යනු කුමක්ද?,"ධනය නිෂ්පාදනය, බෙදා හැරීම සහ පරිභෝජනය සහ ශ්‍රමය, මූල්‍ය, බදුකරණය යනාදී විවිධ ආශ්‍රිත ගැටලු සමඟ කටයුතු කරන විද්‍යාව."
ආර්ථික විද්යාව යනු කුමක්ද?,"තාක්ෂණික වශයෙන්, එය හිඟ තත්වයන් යටතේ සම්පත් වෙන් කිරීම පිළිබඳ අධ්‍යයනයයි."
ආර්ථික විද්යාව යනු කුමක්ද?,එය මිනිසුන්ගේ අවශ්‍යතා සහ අවශ්‍යතා පිරවීම සඳහා දේවල් නිෂ්පාදනය කිරීමට සම්පත් භාවිතා කරන ආකාරය ගැන ය.
මට කොටස් ලැබෙනවා,කොටස් වෙළෙඳපොළ ඉහළ යන බවක් ඔබට දැනෙනවාද?
මුදල,අපි කොපමණ මුදල් ගැන කතා කරනවාද?
ඔබ කොපමණ මුදලක් උපයනවාද,කිසිවෙකු මට ගෙවන්නේ නැත. මම නොමිලේ වැඩ කරනවා.
ඔබ කොපමණ මුදලක් උපයනවාද,මුදල් සියල්ල නොවේ.
ඔබ කොපමණ මුදලක් උපයනවාද,මම ඉක්මනින් වැඩිවීමක් බලාපොරොත්තු වෙමි.
ඔබ කොපමණ මුදලක් අය කරනවාද?,නොමිලේ වැඩ කරන්න. අපට මුදල් අවශ්‍ය නැහැ.
ඔයාට කොච්චර සල්ලි තියෙනවද කියලා,ද්රව්යමය දේපළ අවශ්ය නොවේ.
කොපමණ මුදලක්,එය විනිමය අනුපාත මත රඳා පවතී.
කොපමණ මුදලක්,මගේ පිළිස්සුම් අනුපාතය මසකට _3000 ක් පමණ වේ.
ඩොලර් 1 යි,ඔබට තවදුරටත් ඩොලරයකට බොහෝ දේ මිලදී ගත නොහැක.
