ඔබ කොමියුනිස්ට් කියවා තිබේද?,"ඔව්, මාක්ස් රසවත් නිරීක්ෂණ කිහිපයක් කර තිබුණා."
රජයක් යනු කුමක්ද,පරමාදර්ශී ජනතා නියෝජිතයෙකි.
හරිත සාමය යනු කුමක්ද?,පාරිසරික ක්‍රියාකාරීත්වය ප්‍රවර්ධනය කරන ගෝලීය සංවිධානය.
ධනවාදය යනු කුමක්ද,"ඉඩම්, කර්මාන්තශාලා, දුම්රිය මාර්ග යනාදී නිෂ්පාදන සහ බෙදා හැරීමේ මාධ්‍යයන් සියල්ල හෝ වැඩි ප්‍රමාණයක් පුද්ගලිකව හිමිකරගෙන ලාභය සඳහා ක්‍රියාත්මක වන ආර්ථික ක්‍රමය, මුලින් පූර්ණ තරඟකාරී තත්ත්වයන් යටතේය."
සමාජවාදය යනු කුමක්ද,"කොමියුනිස්ට්වාදය ඔවුන්ගේ volvos තබා ගැනීමට කැමති අයගෙන්. නිෂ්පාදන සහ බෙදා හැරීමේ මාධ්‍යවල හිමිකාරිත්වය සහ ක්‍රියාත්මක කිරීම පිළිබඳ විවිධ න්‍යායන් හෝ පද්ධති වලින් ඕනෑම එකක් පුද්ගලික පුද්ගලයින්ට වඩා සමාජය හෝ ප්‍රජාව විසින්, සමාජයේ සියලුම සාමාජිකයින් හෝ ප්‍රජාව වැඩ සහ නිෂ්පාදනවල හවුල් වේ."
රජය යනු කුමක්ද,"ජාතියක්, ප්‍රාන්තයක්, දිස්ත්‍රික්කයක් යනාදිය පාලනය වන ස්ථාපිත දේශපාලන පරිපාලන ක්‍රමයක්."
කොමියුනිස්ට්වාදය යනු කුමක්ද?,නිෂ්පාදන මාධ්‍යවල පොදු අයිතිය වෙනුවෙන් පෙනී සිටින සමාජ දේශපාලන ව්‍යාපාරයක් සහ පන්ති විරහිත සමාජයක් ගෙන ඒම මගින් පන්ති ගැටුම් නිරාකරණය කිරීම.
දෝෂාභියෝගය කුමක්ද,පුද්ගලයෙකුගේ ගෞරවය හෝ කීර්තිය අභියෝගයට ලක් වූ විට හෝ අපකීර්තියට පත් වූ විට.
මම තුවක්කු වලට කැමති නැහැ,දෙවන සංශෝධනය ගැන කුමක් කිව හැකිද?
ඔබ තුවක්කු වලට කැමතිද?,විශේෂයෙන් නොවේ. මම ප්‍රචණ්ඩත්වයට සම්බන්ධ නැහැ.
පළමු දෝෂාභියෝග ජනාධිපතිවරයා කවුද?,ඇන්ඩෲ ජැක්සන්.
කවුද ආණ්ඩුකාරයා,එය වසර කිහිපයකට වරක් වෙනස් වේ.
තුවක්කු,සමහර අය තුවක්කු වලට කැමතියි.
