තාප ගති විද්‍යාවේ නීති මොනවාද?,"මම භෞතික විද්‍යාඥයෙක් නොවෙමි, නමුත් මෙය තාපය, එන්ට්‍රොපිය සහ බලශක්ති සංරක්ෂණය සමඟ සම්බන්ධයක් ඇතැයි මම සිතමි, හරිද?"
පිළිකා කාරකයක් ඇති කරන රෝගය කුමක්ද?,පිළිකාවක්.
තරංග ආයාමයක් යනු කුමක්ද?,තරංග ආයාමය යනු සංඛ්‍යාතයේ ප්‍රතිලෝමය වේ.
තාප ගති විද්යාව යනු කුමක්ද?,"භෞතික විද්‍යාවේ ශාඛාව, තාපය වෙනත් ශක්ති ආකාරවලට සහ ඉන් පිටතට පරිවර්තනය කිරීම හා සම්බන්ධ වන අතර එවැනි ශක්ති පරිවර්තනයන් පාලනය කරන නීති සමඟ කටයුතු කරයි."
රසායන විද්යාව යනු කුමක්ද?,රසායනික ද්රව්ය මිශ්ර කිරීමේ විද්යාව.
ස්ඵටික විද්යාව යනු කුමක්ද?,මෙය ස්ඵටික අධ්‍යයනය සම්බන්ධ විද්‍යාවයි.
ඇවගාඩ්‍රෝ අංකය යනු කුමක්ද?,එය මවුලයකට ඇති අණු ගණනයි. සංඛ්‍යාත්මක අගය හය ලක්ෂ්‍ය බිංදුව දෙගුණයකින් දහයේ සිට විසිතුන්වැනි බලය දක්වා වේ.
අල්ට්රා සවුන්ඩ් යනු කුමක්ද?,"අතිධ්වනික තරංග, වෛද්‍ය රෝග විනිශ්චය සහ ප්‍රතිකාර, ශල්‍යකර්ම ආදියේදී භාවිතා වේ."
ජෛව තොරතුරු යනු කුමක්ද?,ජීව විද්‍යාවේ ව්‍යවහාරික පරිගණක විද්‍යාව සඳහා විසිතුරු නමකි.
venus යනු කුමක්ද?,"රෝම පුරාවෘත්තවල, ආදරය සහ අලංකාරයේ දේවතාවිය; ග්රීක ඇෆ්රොඩයිට් සමඟ හඳුනාගෙන ඇත. සෞරග්‍රහ මණ්ඩලයේ දීප්තිමත්ම, හයවන-විශාලතම ග්‍රහලෝකය සහ සූර්යයාගේ සිට දුරින් ඇති දෙවන ග්‍රහලෝකය, කාබන් ඩයොක්සයිඩ් ඝන වායුගෝලයක් සහ ඉතා ඉහළ මතුපිට උෂ්ණත්වයක් සහිතයි."
ichthyology යනු කුමක්ද?,අපි මාළු ගැන අධ්‍යයනය කරන විට මේ ගැන කතා කරමු.
h2o යනු කුමක්ද?,h යනු o ට මෙන්ම o ට v.
සෛල විද්යාව යනු කුමක්ද?,සෛල අධ්යයනය.
සෛල විද්යාව යනු කුමක්ද?,"හොඳයි, මට මතක හැටියට එය සෛල අධ්‍යයනයයි."
තරංග ආයාමය යනු කුමක්ද?,"භෞතික විද්‍යාවේදී, තරංගයක ප්‍රගතිශීලී දිශාවට මනිනු ලබන දුර, ඕනෑම ලක්ෂ්‍යයක සිට ඊළඟ ලක්ෂ්‍යය දක්වා එකම අදියරකින් සංලක්ෂිත වේ. නැතහොත් සිතීමේ මාර්ගයක් ලෙස සැලකිය හැකිය."
බැක්ටීරියා විද්යාව යනු කුමක්ද?,මෙය බැක්ටීරියා සහ ඒවා නිසා ඇතිවන රෝග පිළිබඳ විද්‍යාත්මක අධ්‍යයනයයි.
ගුරුත්වාකර්ෂණය යනු කුමක්ද?,භූමදානයකට ආරාධනාවක්
ගුරුත්වාකර්ෂණය යනු කුමක්ද?,ෆෝටෝන ඇතුළු පදාර්ථයේ සෑම ස්කන්ධයක් හෝ අංශුවක්ම අනෙකුත් සෑම ස්කන්ධයකින්ම හෝ පදාර්ථ අංශුවකින්ම ආකර්ෂණය වන සහ ආකර්ෂණය වන බලය.
අපි ඉන්නේ එකම තරංග ආයාමයක,සහ එකම සංඛ්යාතය.
ඉර කොච්චර දුරද කියලා,සූර්යයා පෘථිවියේ සිට සැතපුම් මිලියන 93 ක් පමණ දුරින් පිහිටා ඇත.
හඳ කොච්චර දුරද කියලා,"සඳ සාමාන්‍යයෙන් පෘථිවියේ සිට සැතපුම් 250,000 ක් පමණ දුරින් පිහිටා ඇත."
ඔබ රසායන විද්‍යාව දන්නවාද?,රසායන විද්යාව යනු කුමක්ද?
ඔබට තාප ගති විද්‍යාව තේරෙනවාද?,තාප ගති විද්යාව යනු කුමක්ද?
රසායන විද්යාව,මගේ ප්‍රියතම විෂය රසායන විද්‍යාව
එකම තරංග ආයාමය,ඒ කියන්නේ අපි එකඟයි.
මට සිකුරු ගැන කියන්න,සිකුරු යනු කුමක්ද?
මට සිකුරු ගැන කියන්න,සිකුරු යනු සූර්යයාගේ සිට දෙවන ග්‍රහලෝකයයි.
